time	sDepthWN0	sDFiAdN0	sDepthWN1	sDFiAdN1	sDepthWN2	sDFiAdN2	sDepthWN3	sDFiAdN3	sDepthWN4	sMixDepthWN4	sDFiAdN4	sDepthWN5	sDFiAdN5	sDepthWN6	sDFiAdN6	sDepthWN7	sDFiAdN7	sDepthWN8	sDFiAdN8	sDepthWN9	sDFiAdN9	sDepthWN10	sDFiAdN10	sDepthWN11	sDFiAdN11	sDepthWN110	sDFiAdN110
18131	3	2.166736398	1.2	3.142005218	1.5	3.671453759	1.5	3.254725914	1.5	0	3.192611276	3	2.166736398	3	2.166736398	3	2.166736398	3	2.166736398	3	2.166736398	3	2.166736398	3	2.166736398	3	2.166736398
18132	3	2.17188995	1.2	3.151625109	1.5	3.685417456	1.5	3.265360112	1.5	0	3.202227829	3	2.17188995	3	2.17188995	3	2.17188995	3	2.17188995	3	2.17188995	3	2.17188995	3	2.17188995	3	2.17188995
18133	3	2.177857156	1.2	3.161587101	1.5	3.699615943	1.5	3.276313602	1.5	0	3.212169382	3	2.177857156	3	2.177857156	3	2.177857156	3	2.177857156	3	2.177857156	3	2.177857156	3	2.177857156	3	2.177857156
18134	3	2.184628618	1.2	3.171878546	1.5	3.714036844	1.5	3.287574469	1.5	0	3.222424661	3	2.184628618	3	2.184628618	3	2.184628618	3	2.184628618	3	2.184628618	3	2.184628618	3	2.184628618	3	2.184628618
18135	3	2.192194254	1.2	3.182486955	1.5	3.728668125	1.5	3.299130959	1.5	0	3.232982519	3	2.192194254	3	2.192194254	3	2.192194254	3	2.192194254	3	2.192194254	3	2.192194254	3	2.192194254	3	2.192194254
18136	3	2.200543316	1.2	3.193400006	1.5	3.743498096	1.5	3.310971482	1.5	0	3.243831952	3	2.200543316	3	2.200543316	3	2.200543316	3	2.200543316	3	2.200543316	3	2.200543316	3	2.200543316	3	2.200543316
18137	3	2.2096644	1.2	3.204605545	1.5	3.758515417	1.5	3.323084616	1.5	0	3.254962098	3	2.2096644	3	2.2096644	3	2.2096644	3	2.2096644	3	2.2096644	3	2.2096644	3	2.2096644	3	2.2096644
18138	3	2.219545458	1.2	3.216091598	1.5	3.773709105	1.5	3.335459121	1.5	0	3.266362248	3	2.219545458	3	2.219545458	3	2.219545458	3	2.219545458	3	2.219545458	3	2.219545458	3	2.219545458	3	2.219545458
18139	3	2.230173819	1.2	3.227846379	1.5	3.789068538	1.5	3.348083942	1.5	0	3.278021848	3	2.230173819	3	2.230173819	3	2.230173819	3	2.230173819	3	2.230173819	3	2.230173819	3	2.230173819	3	2.230173819
18140	3	2.241536197	1.2	3.239858295	1.5	3.804583456	1.5	3.360948216	1.5	0	3.289930511	3	2.241536197	3	2.241536197	3	2.241536197	3	2.241536197	3	2.241536197	3	2.241536197	3	2.241536197	3	2.241536197
18141	3	2.253618708	1.2	3.252115951	1.5	3.820243964	1.5	3.374041279	1.5	0	3.302078016	3	2.253618708	3	2.253618708	3	2.253618708	3	2.253618708	3	2.253618708	3	2.253618708	3	2.253618708	3	2.253618708
